Acct,Vendor,Material,Material_Description,Image,ImageNum
392,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-01-25at4.54.12PM.jpg?v=1612955452,2
,,,,,
393,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-01-25at4.54.13PM_1.jpg?v=1612955452,3
,,,,,
400,Saroj Fabrics,Embroidered Chinon Chiffon,White chinon with mirror embroidery ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-01-25at4.54.13PM_4.jpg?v=1612844602,1
,,,,,
401,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-01-25at4.54.13PM_3.jpg?v=1612844602,2
,,,,,
402,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-01-25at4.54.13PM_5.jpg?v=1612844600,3
,,,,,
403,Saroj Fabrics,Embroidered Korean Silk,Salmon pink with gold embroidery and sequin work,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-05at11.54.13AM.jpg?v=1612841863,1
,,,,,
404,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-05at11.53.47AM_7.jpg?v=1612841863,2
,,,,,
405,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-05at11.54.13AM_1.jpg?v=1612841863,3
,,,,,
